id,ceiling_height_known,rooms_count,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known,is_isolated,is_adjacent,house_type_known,renovation_known
271271157,1,4.0,5,16,9.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,4.0,1.0,0,1,0,1.0,1.0,1,1
271634126,1,4.0,5,16,8.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0,1,1,1.0,1.0,1,1
271173086,1,4.0,5,16,0.0,4.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,1,1.0,1.0,0,1
272197456,1,4.0,5,6,5.0,4.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1,1,1,1.0,1.0,0,1
273614615,1,2.0,12,26,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,1,1,1,1.0,1.0,1,1
274837728,0,3.0,3,7,5.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,1,0,0,1.0,1.0,0,1
273643908,1,5.0,4,5,5.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1,1,1,1,1,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,1,1,1,1.0,1.0,0,1
274475342,1,3.0,2,4,9.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,0.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
273973191,1,3.0,5,10,6.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0,1,0,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
272900409,1,4.0,2,7,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0,1,1,1.0,1.0,1,1
