metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term
9,1,200.0,20.0,,500000.0,0.0,1,1.0,1
8,1,198.0,95.0,18.0,500000.0,0.0,1,1.0,1
7,1,200.0,116.0,4.0,500000.0,0.0,1,1.0,1
3,1,170.0,95.0,17.0,400000.0,0.0,1,1.0,1
7,1,58.0,38.0,5.0,225000.0,0.0,1,1.0,1
5,1,92.0,,,470000.0,0.0,1,2.0,1
4,1,213.0,140.0,20.0,350000.0,0.0,1,1.0,1
3,1,98.0,63.0,9.0,250000.0,0.0,1,1.0,1
9,1,120.0,95.0,10.0,130000.0,0.0,1,1.0,1
10,1,90.0,66.0,10.0,210000.0,0.0,1,1.0,1
5,1,170.0,94.0,10.0,290000.0,0.0,1,1.0,1
2,1,80.0,53.0,11.0,100000.0,0.0,1,1.0,1
8,1,100.0,80.0,10.0,200000.0,0.0,1,1.0,1
9,1,180.0,150.0,20.0,500000.0,0.0,1,1.0,1
5,1,222.2,,,450000.0,0.0,1,1.0,1
6,1,225.0,,,450000.0,0.0,1,1.0,1
10,1,30.0,20.0,,120000.0,0.0,1,1.0,1
5,1,222.0,,,450000.0,0.0,1,1.0,1
12,1,150.0,,,180000.0,0.0,1,1.0,1
6,1,201.0,162.0,16.0,190000.0,0.0,1,1.0,1
9,1,64.0,50.0,8.0,205000.0,0.0,1,1.0,1
5,1,112.0,77.0,8.0,230000.0,0.0,1,1.0,1
5,1,190.0,,,590000.0,0.0,1,1.0,1
8,1,255.6,204.0,,850000.0,0.0,1,1.0,1
5,1,186.0,158.0,20.0,190000.0,0.0,1,1.0,1
5,1,100.0,61.0,16.0,200000.0,0.0,1,1.0,1
11,1,150.0,139.0,9.0,200000.0,0.0,1,1.0,1
7,1,140.0,123.0,15.0,300000.0,0.0,1,1.0,1
15,1,132.8,106.0,,400000.0,0.0,1,1.0,1
10,1,256.0,144.0,26.0,750000.0,0.0,1,3.0,1
5,1,380.0,250.0,28.0,870000.0,0.0,1,1.0,1
7,1,112.0,,,350000.0,0.0,1,1.0,1
7,1,91.0,,,400000.0,0.0,1,1.0,1
11,1,135.0,100.0,7.0,400000.0,0.0,1,1.0,1
3,1,190.0,112.0,12.0,590000.0,0.0,1,1.0,1
15,1,44.0,,,135000.0,0.0,1,1.0,1
0,1,85.0,68.0,,150000.0,0.0,1,1.0,1
7,1,100.0,,,320000.0,0.0,1,1.0,1
7,1,133.3,,,400000.0,0.0,1,1.0,1
7,1,210.0,,,400000.0,0.0,1,1.0,1
9,1,180.0,,,450000.0,0.0,1,1.0,1
5,1,165.0,,,470000.0,0.0,1,1.0,1
6,1,190.0,,,590000.0,0.0,1,1.0,1
5,1,168.0,,,600000.0,0.0,1,1.0,1
8,1,250.0,,,850000.0,0.0,1,1.0,1
7,1,85.0,,,150000.0,0.0,1,1.0,1
5,1,105.0,70.0,15.0,195000.0,0.0,1,1.0,1
5,1,134.0,,,300000.0,0.0,1,1.0,1
5,1,60.0,43.0,10.0,90000.0,0.0,1,1.0,1
7,1,85.0,,,150000.0,0.0,1,1.0,1
4,1,150.0,,,250000.0,0.0,1,1.0,1
5,1,142.0,81.0,17.0,350000.0,0.0,1,1.0,1
6,1,222.0,205.0,10.0,450000.0,0.0,1,1.0,1
7,1,60.0,40.0,11.0,120000.0,0.0,1,1.0,1
8,1,103.0,74.0,16.0,120000.0,0.0,1,1.0,1
5,1,170.0,,,175000.0,0.0,1,1.0,1
8,1,200.0,150.0,30.0,190000.0,0.0,1,1.0,1
5,1,105.0,60.0,18.0,240000.0,0.0,1,1.0,1
10,1,60.0,30.0,10.0,250000.0,0.0,1,1.0,1
6,1,155.0,97.0,14.0,250000.0,0.0,1,1.0,1
5,1,134.0,95.0,7.0,300000.0,0.0,1,1.0,1
0,1,214.6,,,500000.0,0.0,1,,1
5,1,204.0,109.0,23.0,500000.0,0.0,1,1.0,1
9,1,180.0,123.0,4.0,500000.0,0.0,1,1.0,1
6,1,260.0,,,590000.0,0.0,1,1.0,1
6,1,237.1,165.0,,650000.0,0.0,1,1.0,1
4,1,215.0,70.0,,700000.0,0.0,1,,1
0,1,100.0,68.0,12.0,115000.0,0.0,1,1.0,1
8,1,60.0,40.0,11.0,120000.0,0.0,1,1.0,1
5,1,170.0,104.0,21.0,175000.0,0.0,1,1.0,1
6,1,98.0,8.0,,185000.0,0.0,1,1.0,1
5,1,175.0,16.0,,200000.0,0.0,1,1.0,1
5,1,180.0,112.0,12.0,350000.0,0.0,1,1.0,1
6,1,132.0,82.0,17.0,350000.0,0.0,1,1.0,1
4,1,228.0,159.0,30.0,400000.0,0.0,1,1.0,1
2,1,92.3,10.8,,470000.0,0.0,1,1.0,1
5,1,204.0,122.0,10.0,500000.0,0.0,1,1.0,1
4,1,160.0,103.0,9.0,650000.0,0.0,1,1.0,1
4,1,140.0,93.0,9.0,650000.0,0.0,1,1.0,1
