id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute
271271157,3.0,9,1,200.0,20.0,,500000.0,0.0,1,1.0,1,4.0,,5,16,9.0,4.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
271634126,3.5,8,1,198.0,95.0,18.0,500000.0,0.0,1,1.0,1,4.0,,5,16,8.0,4.0,3.0,,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
271173086,3.2,7,1,200.0,116.0,4.0,500000.0,0.0,1,1.0,1,4.0,", Оба варианта",5,16,,4.0,2.0,,,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
272197456,3.2,3,1,170.0,95.0,17.0,400000.0,0.0,1,1.0,1,4.0,", Оба варианта",5,6,,4.0,2.0,,,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
273614615,3.9,7,1,58.0,38.0,5.0,225000.0,0.0,1,1.0,1,2.0,,12,26,0.0,,2.0,,,1.0,1.0,2.0,0.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
274837728,,5,1,92.0,,,470000.0,0.0,1,2.0,1,3.0,,3,7,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
273643908,3.2,4,1,213.0,140.0,20.0,350000.0,0.0,1,1.0,1,5.0,", Оба варианта",4,5,,0.0,2.0,,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274475342,3.2,3,1,98.0,63.0,9.0,250000.0,0.0,1,1.0,1,3.0,,2,4,9.0,4.0,2.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
273973191,3.0,9,1,120.0,95.0,10.0,130000.0,0.0,1,1.0,1,3.0,,5,10,6.0,1.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
272900409,310.0,10,1,90.0,66.0,10.0,210000.0,0.0,1,1.0,1,4.0,,2,7,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
271036964,3.2,5,1,170.0,94.0,10.0,290000.0,0.0,1,1.0,1,4.0,", Оба варианта",6,7,,4.0,2.0,,,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
273999490,,2,1,80.0,53.0,11.0,100000.0,0.0,1,1.0,1,3.0,", Изолированная",4,8,5.0,,2.0,0.0,3.0,1.0,1.0,1.0,0.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
274017037,,8,1,100.0,80.0,10.0,200000.0,0.0,1,1.0,1,3.0,,2,4,5.0,,3.0,,,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
273231024,,9,1,180.0,150.0,20.0,500000.0,0.0,1,1.0,1,5.0,,6,8,9.0,,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,
274839211,,5,1,222.2,,,450000.0,0.0,1,1.0,1,5.0,", Оба варианта",5,9,9.0,4.0,2.0,0.0,1.0,,,2.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
274767901,,6,1,225.0,,,450000.0,0.0,1,1.0,1,5.0,,5,9,9.0,,3.0,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0
274995950,,10,1,30.0,20.0,,120000.0,0.0,1,1.0,1,2.0,,19,26,,,2.0,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
274945807,,5,1,222.0,,,450000.0,0.0,1,1.0,1,5.0,,5,9,,,3.0,0.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
272911145,,12,1,150.0,,,180000.0,0.0,1,1.0,1,5.0,", Изолированная",4,7,5.0,0.0,2.0,0.0,1.0,,,2.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
274748017,3.2,6,1,201.0,162.0,16.0,190000.0,0.0,1,1.0,1,5.0,", Оба варианта",3,3,,,2.0,,,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
273941734,,9,1,64.0,50.0,8.0,205000.0,0.0,1,1.0,1,2.0,", Оба варианта",12,26,,,2.0,,,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0
