id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,ceiling_height_known,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known
271271157,3.0,9,1,200.0,20.0,17.0,500000.0,0.0,1,1.0,1,1,4.0,,5,16,9.0,4.0,3.0,,,,,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,4.0,1.0,0.0,1,0
271634126,3.5,8,1,198.0,95.0,18.0,500000.0,0.0,1,1.0,1,1,4.0,,5,16,8.0,4.0,3.0,,,1.0,1.0,2.0,1.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0.0,1,1
271173086,3.2,7,1,200.0,81.0,15.0,500000.0,0.0,1,1.0,1,1,4.0,", Оба варианта",5,16,,4.0,2.0,,,1.0,1.0,3.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
272197456,3.2,3,1,170.0,81.0,15.0,400000.0,0.0,1,1.0,1,1,4.0,", Оба варианта",5,6,,4.0,2.0,,,1.0,1.0,3.0,0.0,0,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
273614615,2.64,7,1,58.0,38.0,5.0,225000.0,0.0,1,1.0,1,1,2.0,,12,26,0.0,,2.0,,,1.0,1.0,2.0,0.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,1.0,1,1
274837728,2.64,5,1,92.0,50.0,10.0,470000.0,0.0,1,2.0,1,0,3.0,,3,7,,,3.0,,,,,1.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,,0,0
273643908,3.2,4,1,213.0,103.0,18.0,350000.0,0.0,1,1.0,1,1,5.0,", Оба варианта",4,5,,0.0,2.0,,,1.0,1.0,2.0,0.0,1,1,1,1,1,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
274475342,3.2,3,1,98.0,63.0,9.0,250000.0,0.0,1,1.0,1,1,3.0,,2,4,9.0,4.0,2.0,,,1.0,0.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,0.0,1,1,0,1.0,0.0,0.0,1,1
273973191,3.0,9,1,120.0,95.0,10.0,130000.0,0.0,1,1.0,1,1,3.0,,5,10,6.0,1.0,2.0,,,0.0,1.0,1.0,0.0,0,1,0,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0.0,1,1
272900409,2.64,10,1,90.0,66.0,10.0,210000.0,0.0,1,1.0,1,1,4.0,,2,7,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0.0,1,1
