id,rooms_count,is_isolated,is_adjacent,parking,renovation,is_loggia,is_balcony,view_of_courtyard,view_of_street,combined_bathroom,separate_bathroom,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,is_passenger_lift,is_freight_lift,garbage_chute
271271157,4,,,4,3,,,,,,,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1.0,1
271634126,4,,,4,3,,,1.0,1.0,1.0,1.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,0
271173086,4,1.0,1.0,4,2,,,1.0,1.0,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
272197456,4,1.0,1.0,4,2,,,1.0,1.0,1.0,0.0,0,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
273614615,2,,,,2,,,1.0,1.0,1.0,0.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,1
274837728,3,,,,3,,,,,,,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,,,
273643908,5,1.0,1.0,0,2,,,1.0,1.0,1.0,0.0,1,1,1,1,1,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,
274475342,3,,,4,2,,,1.0,0.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,0.0,1,1,0,1.0,0.0,0
273973191,3,,,1,2,,,0.0,1.0,1.0,0.0,0,1,0,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0
272900409,4,,,1,2,0.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1
271036964,4,1.0,1.0,4,2,,,1.0,1.0,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
273999490,3,1.0,0.0,,2,0.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,0.0,1.0,1,1,0,1.0,0.0,
274017037,3,,,,3,,,1.0,0.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
273231024,5,,,,3,1.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
274839211,5,1.0,1.0,4,2,0.0,1.0,,,1.0,0.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,
274767901,5,,,,3,,,,,,,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1
274995950,2,,,,2,,,0.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,,,
274945807,5,,,,3,0.0,1.0,,,,,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,,,
272911145,5,1.0,0.0,0,2,0.0,1.0,,,1.0,0.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,
274748017,5,1.0,1.0,,2,,,1.0,1.0,1.0,0.0,1,1,0,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
273941734,2,1.0,1.0,,2,,,0.0,1.0,1.0,0.0,1,1,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,,,0
274493570,3,1.0,1.0,4,2,0.0,1.0,1.0,1.0,1.0,0.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
274849101,4,,,,3,,,,,,,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,0,0,,,
223918678,5,,,,2,,,1.0,0.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,,,
274391259,5,,,1,2,,,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,,,1
272945376,3,1.0,1.0,0,2,,,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,
272612966,5,,,,2,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,
271568490,5,,,,3,,,0.0,1.0,,,1,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,
264664760,3,,,,2,,,,,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,,,
228923308,5,,,4,3,,,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1.0,1
267489303,6,,,1,1,,,1.0,1.0,1.0,1.0,1,1,0,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1
273353104,3,,,4,,,,,,0.0,1.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,,,1
273353103,2,,,4,,,,,,0.0,1.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,,,1
